,P,D,Rs,Rl,CPI,lrp,lrd,lpd,ret,TSpr,lrp_1,lrd_1,lpd_1,ret_1,TSpr_1,lrp_2,lrd_2,lpd_2,ret_2,TSpr_2,lrp_3,lrd_3,lpd_3,ret_3,TSpr_3
1870,4.44,,,,,,,,,,,,,,,,,,,,,,,,
1871,4.86,0.26,6.35,5.32,5.75,-0.169,-3.097,2.928,0.153,-1.03,,,,,,,,,,,,,,,
1872,5.11,0.30,7.81,5.36,5.84,-0.134,-2.969,2.835,0.113,-2.45,-0.169,-3.097,2.928,0.153,-1.03,,,,,,,,,,
1873,4.66,0.33,8.35,5.58,5.97,-0.248,-2.896,2.648,-0.023,-2.77,-0.134,-2.969,2.835,0.113,-2.45,-0.169,-3.097,2.928,0.153,-1.03,,,,,
1874,4.54,0.33,6.86,5.47,5.71,-0.229,-2.851,2.622,0.045,-1.39,-0.248,-2.896,2.648,-0.023,-2.77,-0.134,-2.969,2.835,0.113,-2.45,-0.169,-3.097,2.928,0.153,-1.03
1875,4.46,0.30,4.96,5.07,5.31,-0.175,-2.874,2.699,0.048,0.11,-0.229,-2.851,2.622,0.045,-1.39,-0.248,-2.896,2.648,-0.023,-2.77,-0.134,-2.969,2.835,0.113,-2.45
1876,3.55,0.30,5.33,4.59,5.01,-0.344,-2.815,2.471,-0.137,-0.74,-0.175,-2.874,2.699,0.048,0.11,-0.229,-2.851,2.622,0.045,-1.39,-0.248,-2.896,2.648,-0.023,-2.77
1877,3.25,0.19,5.03,4.45,5.05,-0.441,-3.280,2.839,-0.031,-0.58,-0.344,-2.815,2.471,-0.137,-0.74,-0.175,-2.874,2.699,0.048,0.11,-0.229,-2.851,2.622,0.045,-1.39
1878,3.58,0.18,4.90,4.34,4.26,-0.174,-3.164,2.990,0.157,-0.56,-0.441,-3.280,2.839,-0.031,-0.58,-0.344,-2.815,2.471,-0.137,-0.74,-0.175,-2.874,2.699,0.048,0.11
1879,5.11,0.20,4.25,4.22,3.82,0.291,-2.950,3.241,0.483,-0.03,-0.174,-3.164,2.990,0.157,-0.56,-0.441,-3.280,2.839,-0.031,-0.58,-0.344,-2.815,2.471,-0.137,-0.74
1880,6.19,0.26,5.10,4.02,4.61,0.295,-2.875,3.170,0.262,-1.08,0.291,-2.950,3.241,0.483,-0.03,-0.174,-3.164,2.990,0.157,-0.56,-0.441,-3.280,2.839,-0.031,-0.58
